"school_code","school_name","school_lvl","elementary","middle","high","alternative"
1,"Home School","",0,0,0,0
9,"Administrative","",0,0,0,0
22,"Evening School","",0,0,0,0
35,"Early College Academy","",0,0,0,1
39,"Continuation School","",0,0,0,0
44,"Interim Alternative Ed Setting","",0,0,0,0
45,"Home or Hospital Instruction","",0,0,0,0
47,"Private School","",0,0,0,0
48,"Juvenile Detention Center","",0,0,0,1
93,"Support Staff","",0,0,0,NA
192,"Transition Services","",0,0,0,0
203,"Ridgeview Elementary School","Elem",1,0,0,0
204,"Sequoia Elementary School","Elem",1,0,0,0
206,"Squaw Valley Elementary School","Elem",1,0,0,0
207,"Pellucid Elementary School","Elem",1,0,0,0
210,"Grimes Elementary School","Elem",1,0,0,0
213,"Whitney Elementary School","Elem",1,0,0,0
214,"Perlis Elementary School","Elem",1,0,0,0
215,"Wilkes Elementary School","Elem",1,0,0,0
216,"Hamming Elementary School","Elem",1,0,0,0
217,"Joseph Bunker Elementary School","Elem",1,0,0,0
219,"Minsky Elementary School","Elem",1,0,0,0
221,"Wilkinson Elementary School","Elem",1,0,0,0
222,"John McCarthy Elementary School","Elem",1,0,0,0
225,"Paris Elementary School","Elem",1,0,0,0
227,"Dijkstra Elementary School","Elem",1,0,0,0
228,"Charles W. Bachman Elementary School","Elem",1,0,0,0
229,"Knuth Elementary School","Elem",1,0,0,0
230,"Newell Elementary School","Elem",1,0,0,0
231,"Steve Jobs  Elementary School","Elem",1,0,0,0
234,"Herbert Simon Elementary School","Elem",1,0,0,0
236,"Grand Junction Elementary School","Elem",1,0,0,0
237,"Rabin Elementary School","Elem",1,0,0,0
240,"Scott Elementary School","Elem",1,0,0,0
241,"Tumbleweed Elementary School","Elem",1,0,0,0
243,"Chowchilla Elementary School","Elem",1,0,0,0
244,"Backus Elementary School","Elem",1,0,0,0
249,"Cypress Elementary School","Elem",1,0,0,0
250,"Placid Elementary School","Elem",1,0,0,0
252,"Bells Elementary School","Elem",1,0,0,0
255,"Lambert Elementary School","Elem",1,0,0,0
258,"Sherman Elementary School","Elem",1,0,0,0
260,"Robert W. Floyd Elementary School","Elem",1,0,0,0
261,"Iverson Elementary School","Elem",1,0,0,0
262,"R. Hoare Elementary School","Elem",1,0,0,0
264,"Swift Elementary School","Elem",1,0,0,0
265,"Codd Elementary School","Elem",1,0,0,0
267,"Cook Elementary School","Elem",1,0,0,0
268,"Thompson Elementary School","Elem",1,0,0,0
270,"Ritchie Elementary School","Elem",1,0,0,0
273,"Wirth Elementary School","Elem",1,0,0,0
275,"Karp Elementary School","Elem",1,0,0,0
276,"Hopcroft Elementary School","Elem",1,0,0,0
279,"Tarjan Elementary School","Elem",1,0,0,0
280,"John Cocke Elementary School","Elem",1,0,0,0
