"","tid","school_year","school_code","job_code","degree","t_is_teacher","experience","hire_date","termination_date"
"1",1,2009,475,"Teacher","Bachelor's Degree",1,2,"11/14/2008",""
"2",1,2010,475,"Teacher","Bachelor's Degree",1,3,"11/14/2008",""
"3",1,2011,475,"Teacher","Bachelor's Degree",1,4,"11/14/2008",""
"4",1,2012,475,"Teacher","Bachelor's Degree",1,5,"11/14/2008",""
"5",2,2007,252,"Teacher","Bachelor's Degree",1,1,"1/3/2007","8/12/2007"
"6",3,2004,490,"Teacher","Bachelor's Degree",1,6,"8/18/1999","7/14/2008"
"7",3,2005,490,"Teacher","Bachelor's Degree",1,7,"8/18/1999","7/14/2008"
"8",3,2006,490,"Teacher","Bachelor's Degree",1,7,"8/18/1999","7/14/2008"
"9",3,2007,490,"Teacher","Bachelor's Degree",1,8,"8/18/1999","7/14/2008"
"10",3,2008,490,"Teacher","Bachelor's Degree",1,8,"8/18/1999","7/14/2008"
"11",4,2005,448,"Teacher","Master's Degree",1,8,"8/26/2004",""
"12",4,2006,448,"Teacher","Master's Degree",1,8,"8/26/2004",""
"13",4,2007,590,"Teacher","Master's Degree",1,9,"8/26/2004",""
"14",4,2008,590,"Teacher","Master's Degree",1,10,"8/26/2004",""
"15",4,2009,590,"Teacher","Master's Degree",1,11,"8/26/2004",""
"16",4,2010,590,"Teacher","Master's Degree",1,12,"8/26/2004",""
"17",4,2011,590,"Teacher","Master's Degree",1,13,"8/26/2004",""
"18",4,2012,590,"Teacher","Master's Degree",1,14,"8/26/2004",""
"19",5,2004,410,"Teacher","Bachelor's Degree",1,7,"1/10/1998",""
"20",5,2005,410,"Teacher","Bachelor's Degree",1,8,"1/10/1998",""
"21",5,2006,410,"Teacher","Bachelor's Degree",1,8,"1/10/1998",""
"22",5,2007,455,"Teacher","Bachelor's Degree",1,9,"1/10/1998",""
"23",5,2008,455,"Teacher","Bachelor's Degree",1,10,"1/10/1998",""
"24",5,2009,455,"Teacher","Bachelor's Degree",1,11,"1/10/1998",""
"25",5,2010,455,"Teacher","Bachelor's Degree",1,12,"1/10/1998",""
"26",5,2011,455,"Teacher","Bachelor's Degree",1,13,"1/10/1998",""
"27",5,2012,455,"Teacher","Bachelor's Degree",1,14,"1/10/1998",""
"28",7,2012,592,"Teacher","Bachelor's Degree",1,NA,"8/10/2011",""
"29",8,2007,460,"Teacher","Bachelor's Degree",1,1,"8/19/2006",""
"30",8,2008,460,"Teacher","Bachelor's Degree",1,2,"8/19/2006",""
